GATEWAYID,SIP REQUEST,OWNER,Type,OPERATOR,,IP,Position,Conso Max
2516,SIP/41.204.96.185/933425160 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,6,
2517,SIP/41.204.96.185/933425170 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,7,
2518,SIP/41.204.96.185/933425180 ,HAINGO,SIMBOX,ORANGE,COMPTA,192.168.0.26,8,
2521,SIP/41.204.96.185/933425210 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,1,
2522,SIP/41.204.96.185/933425220 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,2,
2523,SIP/41.204.96.185/933425230 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,3,
2524,SIP/41.204.96.185/933425240 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,4,
2525,SIP/41.204.96.185/933425250 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,5,
2526,SIP/41.204.96.185/933425260 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,6,
2527,SIP/41.204.96.185/933425270 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,7,
2528,SIP/41.204.96.185/933425280 ,HAINGO,SIMBOX,ORANGE,GOIP120,192.168.0.120,8,
2501,SIP/41.204.96.185/933425010 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,1,
2502,SIP/41.204.96.185/933425020 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,2,
2503,SIP/41.204.96.185/933425030 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,3,
2504,SIP/41.204.96.185/933425040 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,4,
2505,SIP/41.204.96.185/933425050 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,5,
2506,SIP/41.204.96.185/933425060 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,6,
2507,SIP/41.204.96.185/933425070 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,7,
2508,SIP/41.204.96.185/933425080 ,HAINGO,SIMBOX,ORANGE,GOIP100,192.168.0.100,8,
2511,SIP/41.204.96.185/933425110 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,1,
2512,SIP/41.204.96.185/933425120 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,2,
2513,SIP/41.204.96.185/933425130 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,3,
2514,SIP/41.204.96.185/933425140 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,4,
2515,SIP/41.204.96.185/933425150 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,5,
2516,SIP/41.204.96.185/933425160 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,6,
2517,SIP/41.204.96.185/933425170 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,7,
2518,SIP/41.204.96.185/933425180 ,HAINGO,SIMBOX,ORANGE,GOIP110,192.168.0.110,8,
2811,SIP/193.253.115.65/933428110 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,1,
2812,SIP/193.253.115.65/933428120 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,2,
2813,SIP/193.253.115.65/933428130 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,3,
2814,SIP/193.253.115.65/933428140 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,4,
2815,SIP/193.253.115.65/933428150 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,5,
2816,SIP/193.253.115.65/933428160 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,6,
2817,SIP/193.253.115.65/933428170 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,7,
2818,SIP/193.253.115.65/933428180 ,TINA,SIMBOX,ORANGE,GOIP10,192.168.0.20,8,
